taaable:Amaranth;dbpedia:Aramanth;category:Places;1,00;0,73;0,36;0,04;0,04;0,25;0,71;12,00
taaable:Bulgur;dbpedia:Bulgari;category:Culture;1,00;0,40;0,64;0,09;0,15;0,29;0,78;8,00
taaable:Spelt;dbpedia:Spets;category:Works_by_topic;1,00;0,47;0,67;0,09;0,13;0,40;0,63;14,00
taaable:Japanese_rice;category:Japanese_home;category:Home;1,00;0,34;0,44;0,09;0,15;0,23;0,52;20,00
taaable:Bulgur;dbpedia:Bulgurca;category:Populated_places_in_Europe;1,00;0,09;0,40;0,05;0,08;0,25;0,57;26,00
taaable:Spelt;dbpedia:Speltach;category:Rivers_of_Baden-W%C3%BCrttemberg;1,00;0,14;0,50;0,08;0,13;0,38;0,42;22,00
taaable:Amaranth;dbpedia:Amanat;category:20th_century;1,00;0,74;0,67;0,10;0,14;0,38;0,60;16,00
taaable:Japanese_rice;dbpedia:Japanese_citrus;category:Food_and_drink;1,00;0,40;0,57;0,07;0,12;0,33;0,22;7,00
taaable:Spelt;dbpedia:Spelthorne;category:Tourism;1,00;0,20;0,58;0,10;0,17;0,50;0,73;11,00
taaable:Bulgur;dbpedia:Bulgarus;category:Languages;1,00;0,45;0,67;0,08;0,14;0,38;0,61;18,00
taaable:Amaranth;dbpedia:Amaranthoideae;category:Branches_of_biology;1,00;0,16;0,50;0,09;0,14;0,43;0,74;11,00
taaable:Spelt;dbpedia:Speleothem;category:Wikipedia_cleanup;1,00;0,42;0,69;0,10;0,17;0,50;1,7976931348623157E308;1,7976931348623157E308
taaable:Japanese_rice;dbpedia:Japanese_cruiser_Asama;category:Business;1,00;0,52;0,67;0,10;0,16;0,45;0,64;16,00
taaable:Bulgur;dbpedia:Bulgur;category:Food_and_drink;0,00;0,00;0,00;0,00;0,00;0,00;0,25;6,00
taaable:Amaranth;dbpedia:Amarantite;category:Matter;1,00;0,18;0,46;0,08;0,14;0,30;0,71;12,00
taaable:Spelt;dbpedia:Spent;category:Works_by_genre;1,00;0,47;0,50;0,09;0,13;0,20;0,62;15,00
taaable:Japanese_rice;dbpedia:Japanese_architecture;category:Arts_by_country;1,00;0,52;0,62;0,09;0,15;0,38;0,54;22,00
taaable:Bulgur;dbpedia:Bulgars;category:Historical_eras;1,00;0,40;0,64;0,09;0,15;0,29;0,56;16,00
taaable:Amaranth;dbpedia:Amaranth_(dye);category:Food_and_drink;1,00;0,14;0,50;0,09;0,14;0,43;0,22;7,00
taaable:Spelt;dbpedia:Spelt;category:Food_and_drink;0,00;0,00;0,00;0,00;0,00;0,00;0,25;6,00
taaable:Japanese_rice;dbpedia:Japanese_curry;category:Food_and_drink;1,00;0,37;0,55;0,09;0,15;0,36;0,22;7,00
taaable:Bulgur;category:Bulgars;category:Historical_eras;1,00;0,40;0,64;0,09;0,15;0,29;0,56;16,00
taaable:Amaranth;category:Amara;category:Food_and_drink;1,00;0,14;0,50;0,08;0,13;0,38;0,17;10,00
taaable:Spelt;dbpedia:Aspelt;category:Towns_by_country;1,00;0,09;0,56;0,18;0,18;0,33;0,57;23,00
taaable:Japanese_rice;dbpedia:Japanese_cruiser_Isuzu;category:Subfields_by_academic_discipline;1,00;0,52;0,67;0,10;0,16;0,45;0,63;14,00
taaable:Millet;dbpedia:Millemont;category:Populated_places;1,00;0,29;0,45;0,07;0,11;0,33;0,60;20,00
taaable:Amaranth;dbpedia:Amarah;category:Places;1,00;0,25;0,40;0,05;0,08;0,25;0,65;16,00
taaable:Spelt;dbpedia:Spel;category:Geography;1,00;0,08;0,43;0,04;0,07;0,20;0,67;14,00
taaable:Millet;dbpedia:Millet_beer;category:Food_and_drink;1,00;0,15;0,54;0,09;0,15;0,45;0,20;8,00
taaable:Japanese_rice;dbpedia:Japanese_amberjack;category:Food_and_drink;1,00;0,47;0,63;0,10;0,16;0,39;0,22;7,00
taaable:Spelt;category:Spelthorne;category:Decentralization;1,00;0,20;0,58;0,10;0,17;0,50;0,60;17,00
taaable:Amaranth;dbpedia:Amaranth_(color);category:Perception;1,00;0,18;0,56;0,10;0,17;0,50;0,59;15,00
taaable:Japanese_rice;category:Japanese_knives;category:Categories_by_country;1,00;0,40;0,55;0,08;0,14;0,27;0,57;21,00
taaable:Amaranth;dbpedia:Amar_Kant;category:Wikipedia_administration;1,00;0,10;0,54;0,07;0,12;0,33;1,7976931348623157E308;1,7976931348623157E308
taaable:Millet;dbpedia:Millet_wine;category:Food_and_drink;1,00;0,15;0,54;0,09;0,15;0,45;0,22;7,00
taaable:Spelt;dbpedia:Sperl;category:Cultures;1,00;0,47;0,67;0,09;0,13;0,40;0,64;16,00
taaable:Amaranth;dbpedia:Amaranth;category:Food_and_drink;0,00;0,00;0,00;0,00;0,00;0,00;0,22;7,00
taaable:Millet;dbpedia:Millwater;category:Food_and_drink;1,00;0,49;0,69;0,10;0,17;0,44;0,15;11,00
taaable:Japanese_rice;category:Japanese_gardens;category:Society;1,00;0,43;0,59;0,09;0,16;0,38;0,72;10,00
