e1,e2,lcs,cls,nw,anw,sw,lv,ap,slv,me,ja,jw,isub,req,sub,qgr
"taaable:Basmati_rice","dbpedia:Basmati","","+",-5.0,-5.0,14.0,-5.0,20.0,0.41666666666666674,0.0,0.13888888888888884,0.08333333333333326,0.1578947368421053,1.0,0.1333333333333333,0.5
"taaable:Millet","category:Millets","","+",-1.0,-1.0,12.0,-1.0,13.0,0.1428571428571428,0.0,0.04761904761904756,0.02857142857142858,0.0461538461538461,1.0,0.0461538461538461,0.33333333333333337
"taaable:Rolled_oat","dbpedia:Rolled_oats","","+",-1.0,-1.0,20.0,-1.0,22.0,0.09090909090909094,0.0,0.030303030303030276,0.018181818181818188,0.02857142857142858,1.0,0.03157894736842104,0.23076923076923073
"taaable:Arborio","dbpedia:Arborio_rice","","+",-5.0,-5.0,14.0,-5.0,18.0,0.41666666666666674,0.0,0.13888888888888884,0.08333333333333326,0.1578947368421053,1.0,0.1333333333333333,0.46153846153846156
"taaable:Grain","category:Grains","","+",-1.0,-1.0,10.0,-1.0,10.0,0.16666666666666663,0.0,0.05555555555555547,0.033333333333333326,0.054545454545454564,1.0,0.054545454545454564,0.375
"taaable:Oat","category:Oats","","+",-1.0,-1.0,6.0,-1.0,6.0,0.25,0.0,0.08333333333333337,0.05833333333333335,0.09999999999999998,1.0,0.11428571428571432,0.5
"taaable:Amaranth","dbpedia:Amaranth_grain","","+",-6.0,-6.0,16.0,-6.0,25.0,0.4285714285714286,0.0,0.1428571428571429,0.08571428571428574,0.16363636363636358,1.0,0.1428571428571429,0.4666666666666667
"taaable:Mandarin_orange","category:Mountain_ranges","","-",-6.0,-6.0,17.0,-6.0,32.0,0.4,0.3866666666666667,1.0,0.9,0.6657372116349047,1.0,1.0,0.7083333333333333
"taaable:Coriander","category:Georgian_era","","-",-5.0,-5.0,12.0,-5.0,19.0,0.41666666666666674,0.5111111111111111,0.2129629629629629,0.2129629629629629,1.2315270935960592,1.0,1.0,0.7894736842105263
"taaable:American_herb","category:American_awards","","-",-5.0,-5.0,18.0,-5.0,32.0,0.33333333333333326,0.3076923076923077,0.18803418803418792,0.11282051282051275,0.36188719030047434,1.0,0.3993085566119273,0.55
"taaable:American_herb","category:American_writers","","-",-5.0,-5.0,18.0,-5.0,30.0,0.3125,0.3076923076923077,0.18575174825174823,0.11145104895104896,0.3870395098578274,1.0,0.4257915947035118,0.5263157894736843
"taaable:American_herb","category:American_football","","-",-7.0,-7.0,18.0,-7.0,31.0,0.4117647058823529,0.3076923076923077,0.21417797888386125,0.12850678733031673,0.4096712619300106,1.0,0.4494505494505494,0.5909090909090908
"taaable:American_herb","category:American_directors","","-",-7.0,-7.0,18.0,-7.0,31.0,0.38888888888888884,0.23076923076923073,0.21121471121471114,0.12672882672882668,0.43018433179723503,1.0,0.4707592392144735,0.6086956521739131
"taaable:American_herb","category:American_comics","","-",-6.0,-6.0,18.0,-6.0,30.0,0.4,0.3076923076923077,0.23589743589743595,0.1415384615384616,0.36188719030047434,1.0,0.3993085566119273,0.5263157894736843
"taaable:American_herb","category:American_desserts","","-",-6.0,-6.0,19.0,-6.0,30.0,0.3529411764705883,0.27692307692307694,0.16892911010558065,0.10135746606334839,0.4096712619300106,1.0,0.4494505494505494,0.5714285714285714
"taaable:Ziti","category:Haiti","","-",-2.0,-2.0,6.0,-2.0,9.0,0.4,0.25,0.21666666666666667,0.21666666666666667,0.4552845528455285,1.0,0.4552845528455285,0.625
"taaable:American_herb","category:American_Idol","","-",-4.0,-4.0,18.0,-4.0,25.0,0.3076923076923077,0.3076923076923077,0.20512820512820518,0.12307692307692308,0.30174569208244173,1.0,0.33513513513513526,0.5
"taaable:Mandarin_orange","category:Landmarks_in_France","","-",-7.0,-7.0,18.0,-7.0,36.0,0.368421052631579,0.6133333333333333,0.22663067926225822,0.22663067926225822,0.7081179265055191,1.0,0.6139073678925568,0.7407407407407407
"taaable:American_herb","category:American_art","","-",-3.0,-3.0,18.0,-3.0,28.0,0.23076923076923084,0.19999999999999996,0.13247863247863245,0.07948717948717943,0.2650873786407767,1.0,0.29539065053939195,0.47058823529411764
"taaable:American_herb","category:American_women","","-",-5.0,-5.0,18.0,-5.0,29.0,0.3571428571428572,0.3076923076923077,0.1721611721611721,0.10329670329670326,0.33368983957219256,1.0,0.36937423312883433,0.5
"taaable:American_herb","category:American_films","","-",-5.0,-5.0,18.0,-5.0,28.0,0.3571428571428572,0.2615384615384615,0.2216117216117216,0.13296703296703294,0.33368983957219256,1.0,0.36937423312883433,0.5263157894736843
"taaable:American_herb","category:African_American","","-",-8.0,-8.0,16.0,-8.0,33.0,0.5,0.3846153846153846,0.2483974358974358,0.22355769230769218,0.6227465214761041,1.0,0.548013816925734,0.47058823529411764
"taaable:Coriander","category:Victorian_era","","-",-5.0,-5.0,14.0,-5.0,22.0,0.3846153846153846,0.28888888888888886,0.24857549857549854,0.24857549857549854,0.8445199660152931,1.0,0.8095238095238095,0.736842105263158
"taaable:American_herb","category:American_diaspora","","-",-7.0,-7.0,18.0,-7.0,32.0,0.4117647058823529,0.3076923076923077,0.21417797888386125,0.12850678733031673,0.4096712619300106,1.0,0.4494505494505494,0.5909090909090908
"taaable:Coriander","dbpedia:Corneria","","-",-5.0,-5.0,9.0,-5.0,17.0,0.5555555555555556,0.525,0.12037037037037035,0.08425925925925926,0.8915376676986584,1.0,0.8915376676986584,0.5384615384615384
"taaable:American_herb","category:American_games","","-",-5.0,-5.0,18.0,-5.0,30.0,0.3571428571428572,0.3076923076923077,0.1721611721611721,0.10329670329670326,0.33368983957219256,1.0,0.36937423312883433,0.5
"taaable:Coriander","dbpedia:Corner","","-",-3.0,-3.0,9.0,-3.0,17.0,0.33333333333333326,0.3666666666666667,0.11111111111111116,0.07777777777777783,0.777142857142857,1.0,0.777142857142857,0.5833333333333333
"taaable:American_herb","category:American_society","","-",-6.0,-6.0,18.0,-6.0,29.0,0.375,0.3076923076923077,0.20192307692307698,0.12115384615384617,0.3870395098578274,1.0,0.4257915947035118,0.5714285714285714
"taaable:Coriander","dbpedia:Corian","","-",-3.0,-3.0,12.0,-3.0,13.0,0.33333333333333326,0.0,0.11111111111111116,0.06666666666666665,0.12,1.0,0.12,0.4545454545454546
"taaable:American_herb","category:American_models","","-",-5.0,-5.0,18.0,-5.0,27.0,0.33333333333333326,0.3076923076923077,0.18803418803418792,0.11282051282051275,0.36188719030047434,1.0,0.3993085566119273,0.55
"taaable:American_herb","category:American_folklore","","-",-7.0,-7.0,18.0,-7.0,31.0,0.4117647058823529,0.2615384615384615,0.19923214040861092,0.11953928424516658,0.4096712619300106,1.0,0.4494505494505494,0.5909090909090908
"taaable:American_herb","category:American_men","","-",-3.0,-3.0,19.0,-3.0,27.0,0.23076923076923084,0.21666666666666667,0.13247863247863245,0.07948717948717943,0.2650873786407767,1.0,0.29539065053939195,0.4375
"taaable:American_herb","category:American_actors","","-",-5.0,-5.0,18.0,-5.0,30.0,0.33333333333333326,0.3076923076923077,0.18803418803418792,0.11282051282051275,0.36188719030047434,1.0,0.3993085566119273,0.55
"taaable:Coriander","dbpedia:Corine","","-",-3.0,-3.0,10.0,-3.0,16.0,0.33333333333333326,0.33333333333333337,0.11111111111111116,0.06666666666666665,0.4900840336134453,1.0,0.4900840336134453,0.6923076923076923
"taaable:American_herb","category:American_people","","-",-5.0,-5.0,19.0,-5.0,28.0,0.33333333333333326,0.27692307692307694,0.18803418803418792,0.11282051282051275,0.36188719030047434,1.0,0.3993085566119273,0.55
"taaable:Coriander","dbpedia:Cornier","","-",-3.0,-3.0,9.0,-3.0,17.0,0.33333333333333326,0.4,0.12169312169312174,0.08518518518518525,0.841540404040404,1.0,0.841540404040404,0.6153846153846154
"taaable:American_herb","category:American_music","","-",-5.0,-5.0,18.0,-5.0,27.0,0.3571428571428572,0.3076923076923077,0.2216117216117216,0.13296703296703294,0.33368983957219256,1.0,0.36937423312883433,0.5
